M,N,D,H,Z,Z,T
1024,65536,1024,1,1,1,3
1024,65536,1024,1,1,1,3
1024,65536,1024,1,1,1,3
16,65536,65536,64,1,1,4
16,65536,65536,64,1,1,5
1024,65536,1024,1,1,1,3
4096,65536,1024,1,1,1,3
1024,65536,4096,1,1,1,3
