M,N,D,H,Z,Z,T
1024,16384,1024,1,1,1,3
1024,16384,1024,1,1,1,3
1024,16384,1024,1,1,1,3
16,16384,16384,64,1,1,4
16,16384,16384,64,1,1,5
1024,16384,1024,1,1,1,3
4096,16384,1024,1,1,1,3
1024,16384,4096,1,1,1,3
