M,N,D,H,Z,Z,T
1024,512,1024,1,1,1,3
1024,512,1024,1,1,1,3
1024,512,1024,1,1,1,3
8,512,512,128,1,1,4
8,512,512,128,1,1,5
1024,512,1024,1,1,1,3
30207,512,1024,1,1,1,3
1024,512,30207,1,1,1,3
