M,N,D,H,Z,Z,T
256,768,768,1,1,1,3
256,768,768,1,1,1,3
256,768,768,1,1,1,3
256,256,64,12,1,1,4
256,256,64,12,1,1,5
256,768,768,1,1,1,3
256,768,3072,1,1,1,3
256,3072,768,1,1,1,3
