M,N,D,H,Z,Z,T
768,256,768,1,1,1,3
768,256,768,1,1,1,3
768,256,768,1,1,1,3
12,256,256,64,1,1,4
12,256,256,64,1,1,5
768,256,768,1,1,1,3
128,1536,128,1,1,1,3
24,32768,6,1,1,1,3
128,6144,128,1,1,1,3
6,32768,24,1,1,1,3
