M,N,D,H,Z,Z,T
768,512,768,1,1,1,3
768,512,768,1,1,1,3
768,512,768,1,1,1,3
12,512,512,64,1,1,4
12,512,512,64,1,1,5
768,512,768,1,1,1,3
3072,512,768,1,1,1,3
768,512,3072,1,1,1,3
